DATE,Producer_Price_Index_Butter
1993-02-01,.
1993-03-01,.
1993-04-01,.
1993-05-01,.
1993-06-01,.
1993-07-01,.
1993-08-01,.
1993-09-01,.
1993-10-01,.
1993-11-01,.
1993-12-01,.
1994-01-01,.
1994-02-01,.
1994-03-01,.
1994-04-01,.
1994-05-01,.
1994-06-01,.
1994-07-01,.
1994-08-01,.
1994-09-01,.
1994-10-01,.
1994-11-01,.
1994-12-01,.
1995-01-01,.
1995-02-01,.
1995-03-01,.
1995-04-01,.
1995-05-01,.
1995-06-01,.
1995-07-01,.
1995-08-01,.
1995-09-01,.
1995-10-01,.
1995-11-01,.
1995-12-01,.
1996-01-01,.
1996-02-01,.
1996-03-01,.
1996-04-01,.
1996-05-01,.
1996-06-01,.
1996-07-01,.
1996-08-01,.
1996-09-01,.
1996-10-01,.
1996-11-01,.
1996-12-01,.
1997-01-01,72
1997-02-01,77.9
1997-03-01,83.9
1997-04-01,77.9
1997-05-01,68.4
1997-06-01,70.4
1997-07-01,67.7
1997-08-01,66.8
1997-09-01,59.8
1997-10-01,79.9
1997-11-01,90.5
1997-12-01,112.7
1998-01-01,88.1
1998-02-01,103.5
1998-03-01,95.7
1998-04-01,100.8
1998-05-01,105.2
1998-06-01,100.6
1998-07-01,113.8
1998-08-01,118.3
1998-09-01,150.8
1998-10-01,134.3
1998-11-01,118.5
1998-12-01,111
1999-01-01,104.5
1999-02-01,95.8
1999-03-01,95.6
1999-04-01,78.5
1999-05-01,79.5
1999-06-01,88.5
1999-07-01,82.5
1999-08-01,85.6
1999-09-01,82.9
1999-10-01,73.1
1999-11-01,72.4
1999-12-01,75.2
2000-01-01,.
2000-02-01,.
2000-03-01,.
2000-04-01,.
2000-05-01,.
2000-06-01,.
2000-07-01,.
2000-08-01,.
2000-09-01,.
2000-10-01,.
2000-11-01,.
2000-12-01,.
2001-01-01,.
2001-02-01,.
2001-03-01,.
2001-04-01,.
2001-05-01,.
2001-06-01,.
2001-07-01,.
2001-08-01,.
2001-09-01,.
2001-10-01,.
2001-11-01,.
2001-12-01,.
2002-01-01,.
2002-02-01,.
2002-03-01,.
2002-04-01,.
2002-05-01,.
2002-06-01,.
2002-07-01,.
2002-08-01,.
2002-09-01,.
2002-10-01,.
2002-11-01,.
2002-12-01,.
2003-01-01,.
2003-02-01,.
2003-03-01,.
2003-04-01,.
2003-05-01,.
2003-06-01,.
2003-07-01,.
2003-08-01,.
2003-09-01,.
2003-10-01,.
2003-11-01,.
2003-12-01,.
2004-01-01,.
2004-02-01,.
2004-03-01,.
2004-04-01,.
2004-05-01,.
2004-06-01,.
2004-07-01,.
2004-08-01,.
2004-09-01,.
2004-10-01,.
2004-11-01,.
2004-12-01,.
2005-01-01,.
2005-02-01,.
2005-03-01,.
2005-04-01,.
2005-05-01,.
2005-06-01,.
2005-07-01,.
2005-08-01,.
2005-09-01,.
2005-10-01,.
2005-11-01,.
2005-12-01,.
2006-01-01,.
2006-02-01,.
2006-03-01,.
2006-04-01,.
2006-05-01,.
2006-06-01,.
2006-07-01,.
2006-08-01,.
2006-09-01,.
2006-10-01,.
2006-11-01,.
2006-12-01,.
2007-01-01,97.3
2007-02-01,99.6
2007-03-01,102.4
2007-04-01,103.3
2007-05-01,106.4
2007-06-01,109.3
2007-07-01,106.6
2007-08-01,102.1
2007-09-01,97.7
2007-10-01,93.9
2007-11-01,95.4
2007-12-01,101.8
2008-01-01,100
2008-02-01,99.9
2008-03-01,102.3
2008-04-01,106.1
2008-05-01,108.6
2008-06-01,108.2
2008-07-01,110.9
2008-08-01,114.6
2008-09-01,116
2008-10-01,116.3
2008-11-01,114
2008-12-01,98.8
2009-01-01,91.5
2009-02-01,92.2
2009-03-01,91.4
2009-04-01,91.7
2009-05-01,90.4
2009-06-01,91.2
2009-07-01,89.4
2009-08-01,86.7
2009-09-01,87
2009-10-01,90.1
2009-11-01,102.4
2009-12-01,109.4
2010-01-01,107.6
2010-02-01,109.3
2010-03-01,109.8
2010-04-01,112.5
2010-05-01,116.2
2010-06-01,115.9
2010-07-01,124.3
2010-08-01,126.7
2010-09-01,148.5
2010-10-01,146.2
2010-11-01,137.2
2010-12-01,121.3
2011-01-01,148.2
2011-02-01,161.3
2011-03-01,154.6
2011-04-01,149.5
2011-05-01,152.3
2011-06-01,154.5
2011-07-01,143.1
2011-08-01,142.1
2011-09-01,129.5
2011-10-01,117
2011-11-01,116.9
2011-12-01,120.2
2012-01-01,123.4
2012-02-01,112.9
2012-03-01,111.4
2012-04-01,108.3
2012-05-01,100.1
2012-06-01,104.3
2012-07-01,109.5
2012-08-01,117.9
2012-09-01,121.7
2012-10-01,126.1
2012-11-01,126.2
2012-12-01,116.4
2013-01-01,113.9
2013-02-01,118
2013-03-01,121
2013-04-01,124.3
2013-05-01,119.5
2013-06-01,111.5
2013-07-01,107.9
2013-08-01,97.7
2013-09-01,98.2
2013-10-01,102.8
2013-11-01,108.2
2013-12-01,118.8
2014-01-01,131.2
2014-02-01,134.2
2014-03-01,137.3
2014-04-01,138.3
2014-05-01,148.3
2014-06-01,151.4
2014-07-01,161.3
2014-08-01,165.1
2014-09-01,185.4
2014-10-01,176.2
2014-11-01,139.3
2014-12-01,141.2
2015-01-01,123.5
2015-02-01,132.7
2015-03-01,131.3
2015-04-01,132.9
2015-05-01,142.7
2015-06-01,135.7
2015-07-01,133.7
2015-08-01,132.2
2015-09-01,164
2015-10-01,164.5
2015-11-01,199.3
2015-12-01,171.8
2016-01-01,162.7
2016-02-01,163.7
2016-03-01,152.7
2016-04-01,156.9
2016-05-01,147.2
2016-06-01,154
2016-07-01,150.6
2016-08-01,145.1
2016-09-01,139.9
2016-10-01,133.7
2016-11-01,144.9
2016-12-01,152.5
